Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1276308,MIFEPRISTONE,4,429.6,1,5.41,1,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,Ki,'=',6,nM,8.22,,,UO_0000065,19.14,0.35,2.81,20.28,0,CHEMBL3583216,Displacement of [3H]-dexamethasone from cytosolic fraction of human recombinant glucocorticoid receptor by scintillation counting analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3580565,1,Scientific Literature,J Med Chem,2015,None,,,,6
CHEMBL63768,,None,460.35,0,4.98,4,COc1cccc2c1-c1ccc(NS(C)(=O)=O)c(Br)c1C(c1ccccc1)O2,IC50,'=',519,nM,6.29,,,UO_0000065,13.65,0.31,1.3,9.72,0,CHEMBL682529,Displacement of [3H]dexamethasone from human Glucocorticoid receptor (GR); Value ranges from 378-814 nM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1147539,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,519
CHEMBL1940549,,None,504.65,1,4.3,10,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1ncc2ccccc2n1,IC50,'=',68.7,nM,7.16,,,UO_0000065,14.19,0.27,2.86,7.14,0,CHEMBL1942833,Transrepression activity at glucocorticoid receptor in human H292 cells assessed as inhibition of TNF-stimulated IL-8 production,B,BAO_0000219,cell-based format,Homo sapiens,None,None,H292,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1938296,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,68.7
CHEMBL1940689,,None,507.65,1,4.74,20,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CSc1nc2ccccc2o1,IC50,'=',4.4,nM,8.36,,,UO_0000065,16.46,0.32,3.62,8.3,0,CHEMBL1942833,Transrepression activity at glucocorticoid receptor in human H292 cells assessed as inhibition of TNF-stimulated IL-8 production,B,BAO_0000219,cell-based format,Homo sapiens,None,None,H292,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1938296,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,4.4
CHEMBL384467,DEXAMETHASONE,4,392.47,0,1.9,Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,EC50,'=',1.8,nM,8.74,,,UO_0000065,22.28,0.43,6.84,9.22,0,CHEMBL1912091,Transactivation activity of glucocorticoid receptor in HFF assessed as induction of aromatase activity by measuring beta-estradiol activity after 18 to 24 hrs by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909618,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,1.8
CHEMBL3605926,,None,523.67,2,6.28,15,COc1cc(F)ccc1-c1c(CN(C)Cc2ccccc2)[nH]c2c(NS(C)(=O)=O)cc(C(C)(C)C)cc12,IC50,'=',4.49,nM,8.35,,,UO_0000065,15.94,0.31,2.07,11.22,0,CHEMBL3607228,Antagonist activity against glucocorticoid receptor (unknown origin) expressed in HEK293 cells by GRE-dependent luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3603837,1,Scientific Literature,J Med Chem,2015,CHEMBL3307715,,,,4.49
CHEMBL3605927,,None,466.58,1,6.07,16,COc1cc(F)ccc1-c1c(Cc2ccccc2)[nH]c2c(NS(C)(=O)=O)cc(C(C)C)cc12,IC50,'=',7.54,nM,8.12,,,UO_0000065,17.41,0.34,2.05,11.41,0,CHEMBL3607228,Antagonist activity against glucocorticoid receptor (unknown origin) expressed in HEK293 cells by GRE-dependent luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3603837,1,Scientific Literature,J Med Chem,2015,CHEMBL3307715,,,,7.54
CHEMBL1276308,MIFEPRISTONE,4,429.6,1,5.41,MIF,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,IC50,'=',0.298,nM,9.53,,,UO_0000065,22.17,0.41,4.12,23.5,0,CHEMBL3607228,Antagonist activity against glucocorticoid receptor (unknown origin) expressed in HEK293 cells by GRE-dependent luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3603837,1,Scientific Literature,J Med Chem,2015,CHEMBL3307715,,,,0.298
CHEMBL299828,,None,351.28,1,5.25,16,C=C1C=C(C)C(Cc2cc(OC)c(Br)cc2O)C(C)(C)C1,Ki,'=',2670,nM,5.57,,,UO_0000065,15.87,0.36,0.32,18.92,0,CHEMBL681744,Binding affinity was determined for human glucocorticoid receptor(hGR).,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129561,1,Scientific Literature,J Med Chem,1996,None,,,,2670
CHEMBL116221,,None,369.89,1,6.43,28,CCCOC1Oc2ccc(Cl)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,Ki,'=',260,nM,6.58,,,UO_0000065,17.8,0.35,0.16,21.6,0,CHEMBL681750,Displacement of Dexamethasone from human glucocorticoid receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131555,1,Scientific Literature,Bioorg Med Chem Lett,1998,None,,,,260
CHEMBL3735218,,None,600.57,2,5.47,32,O=C(c1ccccn1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)c(F)c1)C2,Ki,'=',11,nM,7.96,,,UO_0000065,13.25,0.26,2.49,9.35,0,CHEMBL3736640,Antagonist activity at glucocorticoid receptor in human HepG2 cells assessed as inhibition of glucocorticoid-induced TAT activity after 24 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3734698,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3307718,,,,11
CHEMBL3736358,,None,582.58,2,5.33,23,O=C(c1ccccn1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1cccc(C(F)(F)F)c1)C2,Ki,'=',14,nM,7.85,,,UO_0000065,13.48,0.26,2.52,9.22,0,CHEMBL3736640,Antagonist activity at glucocorticoid receptor in human HepG2 cells assessed as inhibition of glucocorticoid-induced TAT activity after 24 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3734698,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3307718,,,,14
CHEMBL3736175,,None,587.62,2,6,17,O=C(c1cccs1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2,Ki,'=',27,nM,7.57,,,UO_0000065,12.88,0.26,1.57,10.47,0,CHEMBL3736640,Antagonist activity at glucocorticoid receptor in human HepG2 cells assessed as inhibition of glucocorticoid-induced TAT activity after 24 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3734698,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3307718,,,,27
CHEMBL3736379,,None,571.56,1,4.66,11,O=C(c1ncc[nH]1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2,Ki,'=',52,nM,7.28,,,UO_0000065,12.74,0.25,2.62,7.22,0,CHEMBL3736640,Antagonist activity at glucocorticoid receptor in human HepG2 cells assessed as inhibition of glucocorticoid-induced TAT activity after 24 hrs,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3734698,1,Scientific Literature,Bioorg Med Chem Lett,2015,CHEMBL3307718,,,,52
CHEMBL3094471,,None,345.51,0,4.22,5,CCC(Cc1ccc(C)cc1)NS(=O)(=O)c1c(C)cc(C)cc1C,IC50,'=',230,nM,6.64,,,UO_0000065,19.21,0.38,2.42,14.38,0,CHEMBL3097677,Inhibition of glucocorticoid receptor (unknown origin) expressed in baculovirus-infected insect cells by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3091417,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,230
CHEMBL1644754,,None,352.87,1,5.67,7,Cc1cc(-c2cccc3cc[nH]c23)c(Cl)c2c1NC(C)(C)C(=O)C2C,IC50,'=',13,nM,7.89,,,UO_0000065,22.35,0.43,2.22,17.57,0,CHEMBL1648954,Transrepression activity at glucocorticoid receptor in TNFalpha/IL1beta-stimulated human HepG2 cells assessed as inhibition of NFkappaB-dependent E-selectin transcription by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1641544,1,Scientific Literature,Bioorg Med Chem Lett,2011,CHEMBL3307718,,,,13
CHEMBL2426126,,None,471.62,1,6.88,3e,CC(C)(C)CC(=O)NCC(C)(C)[C@@H](c1ccccc1)c1ccc2c(cnn2-c2ccc(F)cc2)c1,EC50,'=',138,nM,6.86,,,UO_0000065,14.55,0.27,-0.02,14.62,0,CHEMBL2427920,Transrepression activity at glucocorticoid receptor in human A549 cells assessed as inhibition of IL1beta-stimulated NFkappaB-dependent E-selectin transcription by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2424625,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307651,,,,138
CHEMBL384467,DEXAMETHASONE,4,392.47,0,1.9,SID17389945,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,EC50,'=',1.1,nM,8.96,,,UO_0000065,22.83,0.44,7.06,9.45,1,CHEMBL2427920,Transrepression activity at glucocorticoid receptor in human A549 cells assessed as inhibition of IL1beta-stimulated NFkappaB-dependent E-selectin transcription by luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,A549,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2424625,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3307651,,,,1.1
CHEMBL3315055,,None,557.62,2,5.07,18,CC(C)(C(=O)NC(=O)C1CCC1)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21,EC50,'=',2378,nM,5.62,,,UO_0000065,10.09,0.19,0.55,5.75,0,CHEMBL3370901,Agonist activity at glucocorticoid receptor in human whole blood assessed as inhibition of LPS-induced TNF production incubated for 20 hrs prior to LPS challenge measured after 5 hrs by ELISA,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3638178,Blood,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3351663,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,2378
CHEMBL3315055,,None,557.62,2,5.07,18,CC(C)(C(=O)NC(=O)C1CCC1)[C@@H]1c2ccc(-c3ccc(C(=O)N4CCOCC4)cc3)nc2Oc2c(F)cccc21,Ki,'=',8.7,nM,8.06,,,UO_0000065,14.46,0.27,2.99,8.24,0,CHEMBL3370677,Binding affinity to glucocorticoid receptor (unknown origin) by fluorescence polarization assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2034,Glucocorticoid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3351663,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,8.7
