SMILES,QED,SA,predicted_pIC50
CC(C)Cc1cc2c(cc1F)OC[C@H](CS(N)(=O)=O)N2C(=O)c1ccc2c(c1)NC(=O)CO2,0.6784660371284771,3.509189593916802,5.895854299181772
CC(C)(CC(O)(Cn1ccc(=O)c2ccccc21)C(F)(F)F)c1cccc2c1OCC2,0.6426325987922697,3.313213751265942,7.7153955295845265
CC(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.5503338263558539,4.45289901805543,7.397235230814449
CC#C[C@]1(O)C[C@H]2CCc3cc(O)ccc3[C@]2(CC)C[C@@]1(C)O,0.6985832567040295,4.311632306450079,8.27714730729932
O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2ccc(Cl)cc2)c(=O)[nH]1,0.707406516534638,2.3914007070558245,5.776542277325478
COc1cc(C)c(Cl)cc1S(=O)(=O)Nc1ccc2c(c1)CCCN2C(=O)c1ccc2ccccc2c1,0.3395203927622488,2.381428602675973,5.350810581834522
CC(O)(CC(C)(C)c1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O,0.8078685692924644,2.9648825603830193,6.542140890565105
CC(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1cc(Cl)ccc1Cl,0.6867906961684543,2.5460169311665535,5.913859925734314
C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N3CCC[C@H]3C(N)=O)c2)c1)c1ccccc1,0.30679841235134914,3.7523891901427895,8.796803382285448
CC(C)(CC(O)(CCc1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1,0.479122320453565,3.0319504992962028,7.0187821628728795
Cc1nn(Cc2cscn2)c2ncc(C(=O)Nc3ccc(Cl)cc3)c(Cl)c12,0.5166974925882781,2.5177916961037567,6.611358919066185
Cc1ccnc(C(=O)[C@]23Cc4cnn(-c5ccc(F)cc5)c4C=C2CCN(S(=O)(=O)c2cc(F)cc(F)c2)C3)c1,0.32229969322491686,3.643850385761409,8.118418789870436
CC(C)NS(=O)(=O)c1ccc(-c2ccc3c(cnn3-c3ccc(F)cc3)c2)c(C(F)(F)F)c1,0.38425499236835314,2.462427520461519,5.044999572904876
O=S(=O)(c1ccc(F)cc1)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)CC2(Cc2ccc(F)cc2)C1,0.33670838011200155,3.2232726299021595,7.122296431518772
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,0.4075221395648318,2.939386591233866,8.699261412829074
COc1ccc(F)cc1C(C)(C)CC(O)(Cc1cc2ccncc2[nH]1)C1CC1,0.6192354200477524,3.3283331007891235,7.702545797443592
COc1cc(F)ccc1-c1c(C)[nH]c2c(NS(C)(=O)=O)cc(F)cc12,0.7377336086245406,2.5355225031449677,7.534250062230576
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@H]2[C@@H](O)c1cccc2ccccc12,0.4218491984615065,3.558800638577085,8.084083270792418
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cc(C)cc3c2cnn3-c2ccc(C#N)cc2)c(C)c1,0.38583213854705933,3.1475915984192326,7.747674826200541
COc1ccccc1-c1ccc2c(c1)C(C(C)OCC=C(C)C)=CC(C)(C)N2,0.5974718151022252,3.3155325090731456,6.318419646071838
C[C@H]1C(=O)C(C)(C)Nc2ccc3c(c21)[C@H](c1ccc(Cl)cc1)Oc1ccccc1-3,0.5129314313230283,3.5026290603263117,6.402787968686616
Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cc(C)cc3c2cnn3-c2cccc(NC3CC3)c2)c(C)c1,0.2685096993651095,3.2022711880558585,8.068613800622787
Cc1cccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cccc(C)n3)C2)c1,0.3341790598336114,3.5243063271742017,7.855513659293271
CC1(C)Nc2c(cc(-c3cccn4nccc34)c3c2CCC3)C(C)(C)C1=O,0.69371005779412,3.219535476008062,6.720035088378958
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCCC2[C@@H](O)c1csc2ccccc12,0.3815063684316676,3.8004919537135624,8.478039830037593
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,0.46825405470472276,2.8302838064938474,6.401349409819104
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1ccccn1,0.6680982234912067,4.3891232628463195,7.550458158885967
COc1cccc2c1-c1ccc(NC(C)=O)cc1C(c1ccccc1)O2,0.7414333330849082,2.587653791152249,6.815283097255558
COc1ccc(F)cc1C(C)(C)C[C@](O)(Cc1ccc(Cl)cc1)C(F)(F)F,0.6264223577908086,2.855988648141997,6.446781381563764
CCS(=O)(=O)c1cc2cc(CC(O)(CC(C)(C)c3ccccc3C(N)=O)C(F)(F)F)[nH]c2cn1,0.43791777089887163,3.5988640449991802,6.77211319206203
CC(C)(C)C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N4CCS(=O)(=O)CC4)cc3)C[C@@]21C,0.4759536680972093,4.645602976172627,7.502972898091834
Cc1ccccc1C(C)(C)CC(O)(Cn1ccc(=O)c2ccccc21)C(F)(F)F,0.6535287716816762,3.062599151155286,7.631393043888515
O=C(Nc1ccc(Cl)cc1)c1cnc2c(cnn2Cc2ccccn2)c1Cl,0.5520084439695092,2.2804768494119863,6.575605661119318
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCCC4OC(C(=O)O)C(O)C(O)C4O)cc3)C[C@@]21C,0.2848054160729754,5.185188150539441,7.7485387820501535
CSc1ccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)C(F)(F)F)cc1,0.24561509790034217,3.3667395677543874,10.31820809346107
C=CCC[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,0.749127166326154,3.832624611169246,8.458545822955964
C[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,0.9005844798305032,3.640293470715612,8.083454262397073
C[C@]12Cc3cnn(C4CCOCC4)c3C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CSc1nc2ccccc2s1,0.3338047135583769,4.776673797847456,7.472269304012032
CC(C)(C(=O)Nc1nncs1)C(c1ccccc1)c1ccc2c(cnn2-c2ccc(Cl)cc2)c1,0.3036075224252721,3.1433022167175713,6.855369820940033
CC(C)[C@H](NC(=O)C(F)(F)F)[C@H](Oc1ccc2c(cnn2-c2ccc(=O)n(C)c2)c1)c1cccc(Cl)c1,0.3547347628407496,3.7492689081681903,8.276350075548583
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccc(F)cc1,0.6052487649710753,3.602773458232819,8.454357420528908
C=CCOc1ccc(CN(Cc2ccccc2)c2cccc(NS(C)(=O)=O)c2C)cc1,0.447317468820977,2.2958673399660334,7.56153256871976
